mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_confirmed_after_transition,num_premature_before_transition,num_premature_without_confirmation,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,55,55,54,0,0.3269230769230769,0.33962264150943394,0.0,0.0,,0.0,0.0,0.0,35.0,1938.4615384615386,,,,,,0.0
c3:00:00:13:3b:b7,median,55,55,2,0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis,55,55,2,0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,55,52,0,3,1.0,0.9811320754716981,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,5.454545454545454
c3:00:00:13:3c:1e,baseline,55,55,54,0,0.3148148148148148,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median,55,55,12,0,0.7962962962962963,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis,55,55,10,0,0.8333333333333334,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis_persistence,55,54,8,1,1.0,,,,,,,,,,,,,,,1.8181818181818181
c3:00:00:13:3b:f2,baseline,55,55,54,0,0.2962962962962963,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median,55,55,6,0,0.8518518518518519,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis,55,55,6,0,0.9074074074074074,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis_persistence,55,54,4,1,1.0,,,,,,,,,,,,,,,1.8181818181818181
