mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_confirmed_after_transition,num_premature_before_transition,num_premature_without_confirmation,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,53,53,52,0,0.29411764705882354,0.32075471698113206,0.0,0.0,,0.0,0.0,0.0,35.0,1999.9999999999998,,,,,,0.0
c3:00:00:13:3b:b7,median,53,53,5,0,0.9411764705882353,0.9245283018867925,0.0,0.0,,0.0,0.0,0.0,2.0,114.28571428571428,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis,53,53,5,0,0.9411764705882353,0.9245283018867925,0.0,0.0,,0.0,0.0,0.0,2.0,114.28571428571428,,,,,,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,53,51,2,2,1.0,0.9245283018867925,0.0,0.0,,0.0,0.0,0.0,1.0,57.14285714285714,,,,,,3.7735849056603774
c3:00:00:13:3c:1e,baseline,52,52,50,0,0.3137254901960784,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median,52,52,7,0,0.7843137254901961,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis,52,52,3,0,0.9411764705882353,,,,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis_persistence,52,51,3,1,1.0,,,,,,,,,,,,,,,1.9230769230769231
c3:00:00:13:3b:f2,baseline,53,53,52,0,0.34615384615384615,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median,53,53,1,0,0.9615384615384616,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis,53,53,1,0,0.9807692307692307,,,,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis_persistence,53,52,1,1,1.0,,,,,,,,,,,,,,,1.8867924528301887
