mac,method,num_detections,num_decided,num_transitions,first_decision_index,agree_rate_vs_final,accuracy,num_true_movements,num_missed_movements,missed_movement_rate,num_false_movements,false_movements_per_hour,latency_median_sec,latency_p95_sec,latency_iqr_sec,latency_min_sec,latency_max_sec,pct_time_unknown_or_transition
c3:00:00:13:3b:b7,baseline,20,20,19,0,0.3333333333333333,0.3157894736842105,2.0,0.0,0.0,13.0,1141.4634146341464,2.0,3.8,2.0,0.0,4.0,0.0
c3:00:00:13:3b:b7,median,20,20,4,0,0.5555555555555556,0.5789473684210527,2.0,1.0,0.5,3.0,263.4146341463414,8.0,8.0,0.0,8.0,8.0,0.0
c3:00:00:13:3b:b7,median_hysteresis,20,20,4,0,0.6666666666666666,0.5789473684210527,2.0,0.0,0.0,3.0,263.4146341463414,5.5,10.45,5.5,0.0,11.0,0.0
c3:00:00:13:3b:b7,median_hysteresis_persistence,20,18,2,2,1.0,0.5789473684210527,2.0,0.0,0.0,0.0,0.0,7.5,14.25,7.5,0.0,15.0,10.0
c3:00:00:13:3b:f2,baseline,20,20,19,0,0.3333333333333333,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median,20,20,2,0,0.9444444444444444,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis,20,20,0,0,1.0,,,,,,,,,,,,0.0
c3:00:00:13:3b:f2,median_hysteresis_persistence,20,18,0,2,1.0,,,,,,,,,,,,10.0
c3:00:00:13:3c:1e,baseline,20,20,19,0,0.3333333333333333,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median,20,20,2,0,0.9444444444444444,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis,20,20,0,0,1.0,,,,,,,,,,,,0.0
c3:00:00:13:3c:1e,median_hysteresis_persistence,20,18,0,2,1.0,,,,,,,,,,,,10.0
